"Suffix JS/CSS Settings","JS/CSS Suffix Einstellungen"
"Enable","Aktivieren"
"Add a query parameter to js and css files?","Query Parameter an JS und CSS Dateien anhängen?"
"Auto Generate Suffix","Suffix automatisch generieren"
"Will automatically add query parameter based on last modification date.","Hängt automatisch einen Query Parameter basierend auf dem letzten Änderungsdatum an."
"Suffix","Suffix"
"Will be added like this: <span style=""white-space:nowrap;"">?q=suffix</span> (just specify the suffix, it will be encoded via urlencode). For example: 20120810","Wird wie folgt angehängt: <span style=""white-space:nowrap;"">?q=suffix.</span> (einfach den Suffix angeben, dieser wird durch urlencode enkodiert)"
"Full overview available","Komplette Übersicht verfügbar"
"here","hier"
"Bubble Queryfier helps you adding a query parameter to static files (.css, .js), this will force cache refresh on client-side.","Bubble Queryfier hilft dabei, Query Parameter an statische Dateien (.css, .js) zu hängen. Dies sorgt für einen client-seitigen Cache Refresh."
"http://www.bubblecode.net/en/2012/08/28/magento-a-module-to-force-static-files-reloading/","http://www.bubblecode.net/en/2012/08/28/magento-a-module-to-force-static-files-reloading/"
